booth_number,booth_name
1,Uchcha Vighalay Jamhor Purwi Bhag
2,Uchcha Vighalay Jamhor Purwi Madhya Bhag
3,Uchcha Vighalay Jamhor Pashchimi Bhag
4,Uchcha Vighalay Jamhor Pashchimi Madhya Bhag
5,Madhya Vighalay Jamhor Purwi Bhag
6,Madhya Vighalay Jamhor Pashchimi Bhag
7,Prathamik Vighalay Jokahari
8,Prathamik Vighalay Raja Bigaha
9,"Utkramit Madhya Vidyalay , Mor Dihari"
10,Samudayik Bhavan Padarava
11,Prathamik Vidyalay Devahara
12,Prathamik Vidyalay Chitragopi
13,Samudayik Bhavan Patanava
14,Prathamik Vidyalay Devahara
15,Prathamik Vidyalay Jagadishapur
16,Urdu Madhya Vidyalay Bharathauli
17,Utkramit Madhya Vidyalay Susanar
18,Utkramit Madhya Vidyalay Khairabinda
19,Utkramit Madhya Vidyalay Saheya
20,Madhya Vidyalay Manjurahi
21,Madhya Vidyalay Babhanadi
22,Prathamik Vidyalay Rayapura
23,Utkramit Madhya Vidyalay Bharathauli
24,"Urdu Makhatab Kosadihara ,Purwi Bhag"
25,"Urdu Makhatab Kosadihara, Pashchimi Bhag"
26,Prathamik Vidyalay Batava
27,Prathamik Vidyalay Ramapur
28,Utkramit Madhya Vidyalay Simariya
29,Prathamik Vidyalay Kathautiya
30,Madhya Vidyalay Karma Bhagavan Bayan Bhag
31,Madhya Vidyalay Karma Bhagwan Dayan Bhag
32,Madhya Vidyalay Karma Bhagavan Pashchimi Bhag
33,Prathamik Vidyalay Kuramha Purwi Bhag
34,Utkramit Madhya Vidyalay Kuramha Pashchimi Bhag
35,Madhya Vidyalay Badava Purwi Bhag
36,Madhya Vidyalay Badava Pashchimi Bhag
37,Prathamik Vidyalay Devariya
38,Prathamik Vidyalay Khairi
39,Utkramit Madhya Vidyalay Pirauta
40,Samudayik Bhavan Banahi
41,Utkramit Madhya Vidyalay Tendua
42,Utkramit Madhya Vidyalay Haranahi
43,Samudayik Bhavan Parasi
44,Utkramit Madhya Vidyalay Unthu
45,Utkramit Madhya Vidyalay Maulanagar
46,Utkramit Madhya Vidyalay Chiriya
47,Utkramit Madhya Vidyalay Radhauliya
48,Utkramit Madhya Vidyalay Ibrahimapur
49,Utkramit Madhya Vidyalay Chatara
50,Utkramit Madhya Vidyalay Sohrareya
51,Prathamik Vidyalay Gamhari
52,Utkramit Madhya Vidyalay Alamapur
53,Prathamik Vidyalay Fesar Pashchimi Bhag
54,Prathamik Vidyalay Fesar Purwi Bhag
55,Prathamik Vidyalay Basadiha Kala Utari Bhag
56,Prathamik Vidyalay Basadiha Kala Dakshni Bhag
57,Prathamik Vidyalay Dariyapur
58,Madhya Vidyalay Bakan
59,Prathamik Vidhalay Pokharaha
60,Prathamik Vidhalay Fesara
61,Madhya Vidhalay Simarakhurd
62,Utkramit Madhya Vidyalay Rakhua
