booth_number,booth_name
63,Utkramit Madhya Vidyalay Bagaiya
64,Uchcha Vidyalay Jagadishapur
65,"Samudayik Bhavan Fateha ,Khata Sa0-63 Pashchim Disha"
66,Prathamik Vidyalay Baghoikala
67,Utkramit Madhya Vidyalay Bagoi Khurd
68,Madhya Vidyalay Dosama
69,Prathamik Vidhalay Mandarapura
70,Prathamik Vidyalay Khara Sarim
71,Prathamik Vidyalay Mohidinapur
72,Samudayik Bhavan Parasadih
73,Utkramit Madhya Vidyalay Karanja
74,Utkramit Madhya Vidyalay Mamaka
75,Utkramit Madhya Vidyalay Beli
76,Prathamik Vidyalay Manzar
77,Utkramit Urdu Madhya Vidyalay Dhandhava
78,Prathamik Vidyalay Khaira Sarim
79,Utkramit Madhya Vidyalay Zhikatiya
80,Madhya Vidyalay Rajoi
81,Utkramit Madhya Vidyalay Bijoi
82,Madhya Vidyalay Nehuti
83,Samudayik Bhavan Paharama
84,Madhya Vidyalay Naugad
85,Prathamik Vidyalay Nehuta
86,Madhya Vidyalay Bisaini
87,Madhya Vidyalay Kapasiya
88,Utkramit Madhya Vidyalay Parasa
89,Utkramit Madhya Vidyalay Tetariya
90,Utkramit Madhya Vidyalay Kushi Purwi Bhag
91,Utkramit Madhya Vidyalay Kushi Pashchimi Bhag
92,Samudayik Bhavan Bela
93,"Utkramit Madhya Vidyalay,Bela"
94,Utkramit Madhya Vidyalay Jaramakhap
95,tkramit Madhya Vidyalay Dabura Khurd
96,Samudayik Bhavan Akauna
97,Prathamik Vidyalay Ibanapur
98,Prathamik Vidyalay Tendua Pokhar
99,Madhya Vidyalay Poivwan
100,Utkramit Madhya Vidyalay Bajitapur
101,Utkramit Madhya Vidyalay Ora Pashchimi Bhag
102,Utkramit Madhya Vidyalay Ora Purwi Bhag
103,Prathamik Vidyalay Shekhapura
104,Samudayik Bhavan Rajupar
105,Madhya Vidhalay Kanabehari
106,Utkramit Madhya Vidyalay Karahara
107,Madhya Vidyalay Yari
108,Prathamik Vidyalay Sonavarsha
109,Utkramit Madhya Vidyalay Bharavar
110,Prathamik Vidyalay Khaira
111,Utkramit Madhya Vidyalay Bahuara
112,Utkramit Madhya Vidyalay Kariyava
113,Utkramit Madhya Vidyalay Chaukhada
114,Urdu Madhya Vidyalay Hetamapur
115,Utkramit Madhya Vidyalay Bhediya
116,Utkramit Madhya Vidyalay Narasinha
117,Utkramit Madhya Vidyalay Jasoiya Utar Bhag
118,Utkramit Madhya Vidyalay Jasoiya Dakshini Bhag
119,Saskrit Prathamik Vidyalay Baratapur
120,Utkramit Madhya Vidyalay Navadih Harijan
121,Rajarshi vidya Mandir Utar Bhag
122,Rajarshi vidya Mandir Purwi Bhag SaBhagar
123,Rajarshi Vidya Mandir Dakshin Bhag
124,Kanya Madhya Vidyalay Pi0Ech0I0Di0Kolani Utar Bhag
125,Kanyamadhya Vidyalay Pi0Ech0I0Di0Kaloni Dakshin Bhag
126,Lok Swasthya Pramandalakaryalay Utar Bhag
127,Lok Swasthya Pramandal Karyalay Dakshin Bhag
128,Lok Swasthya Pramandal Karyalay Purwi Bhag
129,Lok Swasthya Pramandal Karyalay Pashchimi Bhag
130,Urdu Prathamik Vidyalay Navadih Utar Bhag
131,Urdu Prathamik Vidyalay Navadih Dakshin Bhag
132,Urdu Prathamik Vidyalay Navadih Madhya Bhag
133,Urdu Prathamik Vidyalay Navadih Purwi Bhag
134,Urdu Prathamik Vidyalay Navadih Dakshin Bhag
135,Sinha Shoshal Kalba Utar Bhag
136,Sinha Shoshal Kalba Madhya Bhag
137,Sinha Shoshal Kalba Dakshin Bhag
138,Anugrah Intar Kolejaaurangabad Purwi Bhag
139,Anugrah Intar Kolejaaurangabad Madhya Bhag
140,Anugrah Intar Kolejaaurangabad Vidnyan Bhavan
141,Anugrah Intar College purwi Bhag Pahala Kamara
142,Anugrah Madhya Vidyalay Aurangabad Pashchim Bhag Kamara Na0 -05
143,Anugrah Madhya Vidyalay Purvi Bhag Kamra No.-2 Dayan Bhag
144,Anugrah Madhya Vidyalay Aurangabad Purw Kamara Na0 -03
145,Anugrah Madhya Vidyalay Aurangabad Pashchim Bhag Kamara Na0 -04
146,Anugrah Madhya Vidyalay Aurangabad Pashchim Bhag Kamara Na0 -05
147,Saskrit Uchcha Vidyalay Aurangabad
148,Jila Pashupalan Karyalay Utar Bhavan
149,Jila Pashupalan Karyalay Pashchim Bhavan
150,Prathamik Vidyalay Ramabandhautar Bhag
151,Prathamik Vidyalay Ramabandh Dakshin Bhag
152,Madarasa Islamiya Utar Bhag
153,Madarasa Islamiya Dakshin Bhag
154,Jila Parishad Karyalay Purwi Bhag
155,Jila Parishad Karyalay Pashchim Bhag
156,Jila Parishad Karyalay Madhya Bhag
157,Kanya Madhya Vidyalay Dharanidhar Rod Purwi Bhag
158,Kanya Madhya Vidyalay Dharanidhar Rod Pashchim Bhag
159,Bapu Prathamik Vidyalay Bas Padav Purwi Bhag
160,Bapu Prathamik Vidyalay Bas Padav Pashchim Bhag
161,Prathamik Vidyalay Gangati
162,Sachchidananda Sinha Kolej Purwi Bhag
163,Sachchidananda Sinha Kolej Pashchim Bhag
164,Anugrah Kanya Uchcha Vidyalay Purwi Bhag
165,Anugrah Kanya Uchcha Vidyalay Pashchim Bhag
166,Anugrah Kanya Uchcha Vidyalay Purwi Madhya Bhag
167,Anugrah Kanya Uchcha Vidyalay Madhya Bhag
168,Prathamik Vidyalay Mini Bigaha
169,Urdu Prathamik Vidyalay Islam Toli Purwi Bhag
170,Urdu Prathamik Vidyalay Islam Toli Pashchim Bhag
171,Samudayik Bhavan Pathan Toli Purwi Bhag
172,Samudayik Bhavan Pathan Toli Pashchim Bhag
173,Urdu Prathamik Vidyalay Kasav Mahalla Utar Bhag
174,Urdu Prathamik Vidyalay Kasav Mahalla Dakshin Bhag
175,Taun Intar Kolej Purwi Bhag
176,Taun Intar Kolej Purwi Madhya Bhag
177,Taun Intar Kolej Pashchim Bhag
178,Lok Swasthya Abhiyantran Vibhag Kavartar Purwi Bhag
179,Lok Swasthya Abhiyantran Vibhag Kavartar Pashchim Bhag
180,Urdu Prathamik Vidyalay Nu Kaji Mahalla Utar Bhag
181,Urdu Prathamik Vidyalay Nu Kaji Mahalla Dakshin Bhag
182,Bindul Ara Mashin Shahapur Nala Ke Pas Chalanta Matadan Kendra Purwi Bhag
183,Bindul Ara Mashin Shahapur Nala Ke Pas Chalanta Matadan Kendra Pashchim Bhag
184,Tichar Traaining School Ruman0-1
185,Tichar Traaining School Ruman0-2
186,Tichar Traaining SchoolRuman0-3
187,Tichar Traaining School Ruman0-4
188,Tichar Traaining Schoola Ruman0-5
189,Prathamik Vidyalay Mallah Toli
190,Ramalakhan Sinh Yadav Kolej Purwi Bhag
191,Ramalakhan Sinh Yadav Kolej Pashchim Bhag
192,Ramalakhan Sinh Yadav Kolej Karyalay
193,Utkramit Madhya Vidyalay Silar
194,Prathamik Vidyalay Dhamarpur
195,Uchcha Vidyalay Pavai Utari Bhag
196,Uchcha Vidyalay Pavai Dakshin Bhag
197,Prathamik Vidyalay Bhairopur
198,Prathamik Vidyalay Titai Bigaha
199,Utkramit Madhya Vidyalay Bhatakur
200,Prathamik Vidyalay Vishramapur
201,Utkramit Madhya Vidyalay Hajarikarma
202,Samudayik Bhavan Chandauli
203,Prathamik Vidyalay Balakarma
204,Utkramit Madhya Vidyalay Chatara
205,Prathamik Vidyalay Bhaluhara
206,Prathamik Vidyalay Bijauli
207,Prathamik Vidhalay Pipara
208,Prathamik Vidyalay Dhanari
209,Prathamik Vidyalay Pandey Bigaha
210,Prathamik Vidyalay Hasauli
211,Utkramit Madhya Vidyalay Raval Bigaha
212,Madhya Vidyalay Kunda
213,Prathamik Vidyalay Harihar Bigaha
214,Utkramit Madhya Vidyalay Khakhada
215,Prathamik Vidhalay Nepava
216,Utkramit Madhya Vidyalay Karma
217,Prathamik Vidyalay Basadiha
218,Utkramit Madhya Vidyalay Dadhapa
219,Prathamik Vidhalay Parasan Bigaha
220,Prathamik Vidyalay Guragaiya
221,Madhya Vidyalay Kharadiha
222,Utkramit Madhya Vidyalay Bahuara
223,Utkramit Madhya Vidyalay Narachi
224,Utkramit Madhya Vidyalay Madava Chainapur
225,Prathamik Vidyalay Devadhari
226,Prathamik Vidyalay Uparadaha
227,Madhya Vidyalay Belasara Utari Bhag
228,Madhya Vidyalay Belasara Dakshini Bhag
229,Prathamik Vidyalay Bhavanipur
230,Prathamik Vidyalay Dhamaul
231,Urdu Madhya Vidyalay Balapokhar
232,Utkramit Madhya Vidyalay Bela
233,Kanya Madhya Vidyalay Dev Purwi Bhag
234,"Kanya Madhya Vidyalay, Dev Madhya Bhag"
235,Kanya Madhya Vidyalay Dev Pashchim Bhag
236,Uchcha Vidyalay Dev
237,Madhya Vidyalay Dev
238,Panchayat Bhavan Dev
239,Madhya Vidyalay Kataiya Pashchim Bhag
240,Madhya Vidyalay Kataiya Purwi Bhag
241,Prathamik Vidyalay Kosiyari
242,Utkramit Madhya Vidyalay Isaraur
243,Prathamik Vidyalay Chatati Bajar
244,Besik Skul Vishunapur
245,Madhya Vidyalay Vishunapur
246,Utkramit Madhya Vidyalay Keshaur
247,Prathamik Vidyalay Suhi
248,Utkramit Madhya Vidyalay Saraganva
249,Madhya Vidyalay Malahara
250,Urdu Prathamik Vidyalay Kanatari
251,Utkramit Madhya Vidyalay Dhanav
252,Madhya Vidyalay Chandapur
253,Besik Skul Eraki
254,Prathamik Vidyalay Ajaniya
255,Prathamik Vidyalay Khadiha
256,Panchayat Bhavan Bedhani
257,Madhya Vidyalay Bedhani
258,Madhya Vidyalay Yadupur
259,Prathamik Vidyalay Fulavariya
260,Utkramit Madhya Vidyalay Khemachand Bigaha Utari Bhag
261,Utkramit Madhya Vidyalay Khemachand Bigaha Dakshini Bhag
262,Utkramit Madhya Vidyalay Ketaki
263,Madhya Vidyalay Ketaki
264,Utkramit Madhya Vidyalay Eraura
265,Prathamik Vidyalay Barai Bigaha
266,Utkramit Madhya Vidyalay Kanchanapur
267,Utkramit Madhya Vidyalay Satavat
268,Prathamik Vidyalay Ajab Bigaha
269,Utkramit Madhya Vidyalay Dumari
270,Utkramit Madhya Vidyalay Narayanapur
271,Prathamik Vidyalay Bhatakur
272,Utkramit Madhya Vidyalay Padariya
273,Utkramit Madhya Vidyalay Dosama
