master_name,old_name,booth_rank,old_booth_rank,name_jw_score,name_lv_score,booth_score,average_score
6,FULAVARIYA,0.2204968944099379,0.9487179487179487,0.0,0.0,1.0,0.33
6,GAMHARI,0.2204968944099379,0.18681318681318682,0.0,0.0,1.0,0.33
6,GANGATI,0.2204968944099379,0.5897435897435898,0.0,0.0,1.0,0.33
6,GURAGAIYA,0.2204968944099379,0.8058608058608059,0.0,0.0,1.0,0.33
6,HAJARIKARMA,0.2204968944099379,0.7362637362637363,0.0,0.0,1.0,0.33
6,HARANAHI,0.2204968944099379,0.15384615384615385,0.0,0.0,1.0,0.33
6,HARIHAR,0.2204968944099379,0.7802197802197802,0.0,0.0,1.0,0.33
6,HASAULI,0.2204968944099379,0.7692307692307693,0.0,0.0,1.0,0.33
6,HETAMAPUR,0.2204968944099379,0.4175824175824176,0.0,0.0,1.0,0.33
6,IBANAPUR,0.2204968944099379,0.3553113553113553,0.0,0.0,1.0,0.33
6,IBRAHIMAPUR,0.2204968944099379,0.17582417582417584,0.0,0.0,1.0,0.33
6,IPUR,0.2204968944099379,0.8388278388278388,0.0,0.0,1.0,0.33
6,ISARAUR,0.2204968944099379,0.8864468864468864,0.0,0.0,1.0,0.33
6,JAGAPUR,0.2204968944099379,0.14468864468864467,0.0,0.0,1.0,0.33
6,JAMHOR,0.2204968944099379,0.012820512820512822,0.0,0.0,1.0,0.33
6,JARAMAKHAP,0.2204968944099379,0.3443223443223443,0.0,0.0,1.0,0.33
6,JASOIYA,0.2204968944099379,0.43040293040293043,0.0,0.0,1.0,0.33
6,JOKAHARI,0.2204968944099379,0.02564102564102564,0.0,0.0,1.0,0.33
6,KAJI,0.2204968944099379,0.6611721611721612,0.0,0.0,1.0,0.33
6,KALA,0.2204968944099379,0.20146520146520147,0.0,0.0,1.0,0.33
6,KANABEHARI,0.2204968944099379,0.38461538461538464,0.0,0.0,1.0,0.33
6,KANATARI,0.2204968944099379,0.9157509157509157,0.0,0.0,1.0,0.33
6,KANCHANAPUR,0.2204968944099379,0.9743589743589743,0.0,0.0,1.0,0.33
6,KAPASIYA,0.2204968944099379,0.31868131868131866,0.0,0.0,1.0,0.33
6,KARAHARA,0.2204968944099379,0.3882783882783883,0.0,0.0,1.0,0.33
6,KARANJA,0.2204968944099379,0.2673992673992674,0.0,0.0,1.0,0.33
6,KARIYAVA,0.2204968944099379,0.41025641025641024,0.0,0.0,1.0,0.33
6,KARMA,0.2204968944099379,0.7912087912087912,0.0,0.0,1.0,0.33
6,KASAV,0.2204968944099379,0.6355311355311355,0.0,0.0,1.0,0.33
6,KATAIYA,0.2204968944099379,0.8772893772893773,0.0,0.0,1.0,0.33
6,KATHAUTIYA,0.2204968944099379,0.10622710622710622,0.0,0.0,1.0,0.33
6,KENDRA,0.2204968944099379,0.6684981684981685,0.0,0.0,1.0,0.33
6,KESHAUR,0.2204968944099379,0.9010989010989011,0.0,0.0,1.0,0.33
6,KETAKI,0.2204968944099379,0.9615384615384616,0.0,0.0,1.0,0.33
6,KHADIHA,0.2204968944099379,0.9340659340659341,0.0,0.0,1.0,0.33
6,KHAIRA,0.2204968944099379,0.40293040293040294,0.0,0.0,1.0,0.33
6,KHAIRABINDA,0.2204968944099379,0.06593406593406594,0.0,0.0,1.0,0.33
6,KHAIRI,0.2204968944099379,0.1391941391941392,0.0,0.0,1.0,0.33
6,KHAKHADA,0.2204968944099379,0.7838827838827839,0.0,0.0,1.0,0.33
6,KHARADIHA,0.2204968944099379,0.8095238095238095,0.0,0.0,1.0,0.33
6,KHEMACHAND,0.2204968944099379,0.9542124542124542,0.0,0.0,1.0,0.33
6,KOSADIHARA,0.2204968944099379,0.08974358974358974,0.0,0.0,1.0,0.33
6,KOSIYARI,0.2204968944099379,0.8827838827838828,0.0,0.0,1.0,0.33
6,KUNDA,0.2204968944099379,0.7765567765567766,0.0,0.0,1.0,0.33
6,KURAMHA,0.2204968944099379,0.12271062271062272,0.0,0.0,1.0,0.33
6,KUSHI,0.2204968944099379,0.3315018315018315,0.0,0.0,1.0,0.33
6,MALAHARA,0.2204968944099379,0.9120879120879121,0.0,0.0,1.0,0.33
6,MAMAKA,0.2204968944099379,0.27106227106227104,0.0,0.0,1.0,0.33
6,MANDARAPURA,0.2204968944099379,0.25274725274725274,0.0,0.0,1.0,0.33
6,MANJURAHI,0.2204968944099379,0.07326007326007326,0.0,0.0,1.0,0.33
6,MANZAR,0.2204968944099379,0.2783882783882784,0.0,0.0,1.0,0.33
6,MAULANAGAR,0.2204968944099379,0.16483516483516483,0.0,0.0,1.0,0.33
6,MOHIDINAPUR,0.2204968944099379,0.2600732600732601,0.0,0.0,1.0,0.33
6,N,0.2204968944099379,0.6813186813186813,0.0,0.0,1.0,0.33
6,NARA,0.2204968944099379,0.4249084249084249,0.0,0.0,1.0,0.33
6,NARACHI,0.2204968944099379,0.8168498168498168,0.0,0.0,1.0,0.33
6,NARAYANAPUR,0.2204968944099379,0.989010989010989,0.0,0.0,1.0,0.33
6,NAUGAD,0.2204968944099379,0.3076923076923077,0.0,0.0,1.0,0.33
6,NAVADIH,0.2204968944099379,0.4761904761904762,0.0,0.0,1.0,0.33
6,NEHUTI,0.2204968944099379,0.3058608058608059,0.0,0.0,1.0,0.33
6,NEPAVA,0.2204968944099379,0.7875457875457875,0.0,0.0,1.0,0.33
6,ORA,0.2204968944099379,0.3717948717948718,0.0,0.0,1.0,0.33
6,Others,0.2204968944099379,0.5626595626595626,0.0,0.0,1.0,0.33
6,PADARAVA,0.2204968944099379,0.03663003663003663,0.0,0.0,1.0,0.33
